,area,id,region,title,lat,lot,full_adress,population_2010,man_2010,female_2010
36,Бай-Тайгинский район,1157053,Тыва ,Дружба,"51,0078721","90,2180158","Дружба, Бай-Тайгинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
37,Тандинский район,1157159,Тыва ,Дурген,"51,1490635","94,5006472","Дурген, Тандинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",2579,1213,1366
38,Овюрский район,1157123,Тыва ,Дус-Даг,"50,7257798","92,6975083","Дус-Даг, Дус-Дагский сумон, Овюрский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",974,473,501
39,Тоджинский район,1157182,Тыва ,Ий,"61,8082026","48,6954797","Тыва, Ленский район, Архангельская область, Северо-Западный федеральный округ, Россия",1280,621,659
40,Улуг-Хемский район,1157192,Тыва ,Ийи-Тал,"51,5656919","93,337079","Ийи-Тал, Улуг-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",608,303,305
41,Дзун-Хемчикский район,1157075,Тыва ,Ийме,"51,5782693","91,5933809","Ийме, Дзун-Хемчикский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",678,332,346
42,Каа-Хемский район,1157093,Тыва ,Ильинка,"51,1141651","95,4779459","Ильинка, Каа-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",836,400,436
43,Сут-Хольский район,1157151,Тыва ,Ишкин,"51,5669621","91,4749089","Ишкин, Сут-Хольский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1064,520,544
44,Улуг-Хемский район,1157193,Тыва ,Иштии-Хем,"51,3205615","92,4753913","Иштии-Хем, Улуг-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",527,265,262
45,Кызылский район,1157108,Тыва ,Каа-Хем,"51,696541","94,563721","Каа-Хем, Кызылский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",15047,7188,7859
46,Кызылский район,1157109,Тыва ,Кара-Хаак,"51,8863432","94,4604279","Кара-Хаак, Кызылский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1276,603,673
47,Бай-Тайгинский район,1157054,Тыва ,Кара-Холь,"51,9352436","90,2781325","Кара-Холь, Сут-Хольский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1395,669,726
